clip_name,frame_number,best_reference_cycle_index,best_reference_phase_index,best_similarity,dissimilarity_score,threshold,is_anomalous
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,52,5,0,0.5883709788322449,0.4116290211677551,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,52,3,1,0.4124249815940857,0.5875750184059143,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,52,6,2,0.14880810678005219,0.8511918932199478,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,53,5,0,0.5989232659339905,0.4010767340660095,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,53,3,1,0.4217425286769867,0.5782574713230133,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,53,6,2,0.15537232160568237,0.8446276783943176,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,54,5,0,0.6071751713752747,0.39282482862472534,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,54,3,1,0.42519256472587585,0.5748074352741241,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,54,6,2,0.16152773797512054,0.8384722620248795,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,55,5,0,0.6087827086448669,0.39121729135513306,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,55,3,1,0.42377960681915283,0.5762203931808472,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,55,1,2,0.16914573311805725,0.8308542668819427,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,56,5,0,0.6111749410629272,0.38882505893707275,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,56,3,1,0.42454174160957336,0.5754582583904266,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,56,1,2,0.18078918755054474,0.8192108124494553,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,57,5,0,0.6196032762527466,0.3803967237472534,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,57,3,1,0.4318380057811737,0.5681619942188263,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,57,1,2,0.20022492110729218,0.7997750788927078,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,58,5,0,0.6208587288856506,0.37914127111434937,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,58,3,1,0.4333612620830536,0.5666387379169464,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,58,1,2,0.21665135025978088,0.7833486497402191,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,59,5,0,0.6210450530052185,0.3789549469947815,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,59,3,1,0.43591567873954773,0.5640843212604523,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,59,1,2,0.22881200909614563,0.7711879909038544,0.23319601133433238,True
cortexvpu-01a-005-41884872_2026-06-18_21-14-05_784690_before_stop.mp4,60,5,0,0.6225600838661194,0.3774399161338806,0.23319601133433238,True
