group_id,raw_detection_number_in_group,raw_video_name,raw_stop_start_time,raw_stop_end_time,raw_interval_seconds,seconds_from_group_start,group_start_time,group_end_time,group_duration_seconds,raw_detections_in_group
78,1,cortexvpu-01a-005-41884872_2026-06-19_05-24-16_532165.ts,2026-06-19 06:24:30.822222222,2026-06-19 06:24:41.938888889,11.116666,0.0,2026-06-19 06:24:30.822222222,2026-06-19 06:24:41.938888889,11.116666667,1
79,1,cortexvpu-01a-005-41884872_2026-06-19_05-27-49_556459.ts,2026-06-19 06:28:42.295555556,2026-06-19 06:28:52.155555556,9.86,0.0,2026-06-19 06:28:42.295555556,2026-06-19 06:28:52.155555556,9.86,1
80,1,cortexvpu-01a-005-41884872_2026-06-19_05-29-00_883909.ts,2026-06-19 06:29:04.060000000,2026-06-19 06:29:05.993333333,1.933333,0.0,2026-06-19 06:29:04.060000000,2026-06-19 06:29:05.993333333,1.933333333,1
81,1,cortexvpu-01a-005-41884872_2026-06-19_05-30-20_025811.ts,2026-06-19 06:31:09.557777778,2026-06-19 06:31:17.903333333,8.345555,0.0,2026-06-19 06:31:09.557777778,2026-06-19 06:31:17.903333333,8.345555555,1
82,1,cortexvpu-01a-005-41884872_2026-06-19_05-31-28_413875.ts,2026-06-19 06:31:29.288888889,2026-06-19 06:31:30.932222222,1.6433330000000002,0.0,2026-06-19 06:31:29.288888889,2026-06-19 06:31:30.932222222,1.643333333,1
83,1,cortexvpu-01a-005-41884872_2026-06-19_05-31-30_748389.ts,2026-06-19 06:31:31.288888889,2026-06-19 06:31:34.865555556,3.576666,0.0,2026-06-19 06:31:31.288888889,2026-06-19 06:31:34.865555556,3.576666667,1
84,1,cortexvpu-01a-005-41884872_2026-06-19_05-38-56_582628.ts,2026-06-19 06:39:52.388888889,2026-06-19 06:39:57.576666667,5.187777,0.0,2026-06-19 06:39:52.388888889,2026-06-19 06:39:57.576666667,5.187777778,1
85,1,cortexvpu-01a-005-41884872_2026-06-19_05-40-07_614492.ts,2026-06-19 06:40:09.062222222,2026-06-19 06:40:10.383333333,1.321111,0.0,2026-06-19 06:40:09.062222222,2026-06-19 06:40:10.383333333,1.321111111,1
86,1,cortexvpu-01a-005-41884872_2026-06-19_06-26-30_058067.ts,2026-06-19 07:26:42.051111111,2026-06-19 07:27:05.380000000,23.328888,0.0,2026-06-19 07:26:42.051111111,2026-06-19 07:27:05.380000000,23.328888889,1
87,1,cortexvpu-01a-005-41884872_2026-06-19_06-27-19_064511.ts,2026-06-19 07:27:19.032222222,2026-06-19 07:27:20.031111111,0.998888,0.0,2026-06-19 07:27:19.032222222,2026-06-19 07:27:20.031111111,0.998888889,1
88,1,cortexvpu-01a-005-41884872_2026-06-19_06-44-13_891712.ts,2026-06-19 07:45:10.194444444,2026-06-19 07:45:19.120000000,8.925555,0.0,2026-06-19 07:45:10.194444444,2026-06-19 07:45:19.120000000,8.925555556,1
89,1,cortexvpu-01a-005-41884872_2026-06-19_06-45-24_976221.ts,2026-06-19 07:45:24.032222222,2026-06-19 07:45:25.031111111,0.998888,0.0,2026-06-19 07:45:24.032222222,2026-06-19 07:45:25.031111111,0.998888889,1
90,1,cortexvpu-01a-005-41884872_2026-06-19_07-05-35_283867.ts,2026-06-19 08:06:22.560000000,2026-06-19 08:06:43.407777778,20.847777,0.0,2026-06-19 08:06:22.560000000,2026-06-19 08:06:43.407777778,20.847777778,1
91,1,cortexvpu-01a-005-41884872_2026-06-19_07-07-55_096132.ts,2026-06-19 08:08:08.050000000,2026-06-19 08:08:18.908888889,10.858888,0.0,2026-06-19 08:08:08.050000000,2026-06-19 08:08:18.908888889,10.858888889,1
92,1,cortexvpu-01a-005-41884872_2026-06-19_07-43-28_490322.ts,2026-06-19 08:43:40.276666667,2026-06-19 08:43:41.372222222,1.095555,0.0,2026-06-19 08:43:40.276666667,2026-06-19 08:43:41.372222222,1.095555555,1
93,1,cortexvpu-01a-005-41884872_2026-06-19_07-43-58_496778.ts,2026-06-19 08:44:00.094444444,2026-06-19 08:44:02.382222222,2.287777,0.0,2026-06-19 08:44:00.094444444,2026-06-19 08:44:03.320000000,3.225555556,2
93,2,cortexvpu-01a-005-41884872_2026-06-19_07-44-01_316667.ts,2026-06-19 08:44:02.127777778,2026-06-19 08:44:03.320000000,1.1922220000000001,2.033333,2026-06-19 08:44:00.094444444,2026-06-19 08:44:03.320000000,3.225555556,2
94,1,cortexvpu-01a-005-41884872_2026-06-19_07-44-09_316667.ts,2026-06-19 08:44:10.417777778,2026-06-19 08:44:15.734444444,5.316666,0.0,2026-06-19 08:44:10.417777778,2026-06-19 08:44:15.734444444,5.316666666,1
