extracted_stop_id,stop_time,stop_end_time,source_detection_count,source_first_video_name,source_last_video_name,Time,Period,Type,Operator,Time type,Time.1,Group,Reason 1,Reason 2,Reason 3,Reason 4,Product,Batch,Bulk,Order,harford_original_time,harford_time,harford_stop_id,harford_duration_minutes,matched_harford_stop,time_difference_seconds,absolute_time_difference_seconds
46,2026-06-19 13:09:37.750000000,2026-06-19 13:09:52.250000000,1,cortexvpu-01a-005-41884872_2026-06-19_12-09-14_766334.ts,cortexvpu-01a-005-41884872_2026-06-19_12-09-14_766334.ts,2026-06-19 13:10:13.714000,13:10:13 - 13:11:25,DB,Stuart McCandless,Unplanned operational,0:01:12,,Material Performance,Incompatable,Shrinkwrap,Shrinkwrapper,770116 JW BLACK 0.05L 40% 10x12 US,L6170CL001,,12578718,2026-06-19 13:10:13.714,2026-06-19 13:10:13.714,122.0,1.2,True,35.964,35.964
47,2026-06-19 13:27:28.666666667,2026-06-19 13:27:47.250000000,1,cortexvpu-01a-005-41884872_2026-06-19_12-26-09_772049.ts,cortexvpu-01a-005-41884872_2026-06-19_12-26-09_772049.ts,2026-06-19 13:28:04.968000,13:28:04 - 13:29:56,DB,Stuart McCandless,Unplanned operational,0:01:51,,Material Performance,Incompatable,Shrinkwrap,Shrinkwrapper,770116 JW BLACK 0.05L 40% 10x12 US,L6170CL001,,12578718,2026-06-19 13:28:04.968,2026-06-19 13:28:04.968,123.0,1.85,True,36.301333333,36.301333333
48,2026-06-19 13:40:28.583333333,2026-06-19 13:40:39.083333333,1,cortexvpu-01a-005-41884872_2026-06-19_12-39-53_774504.ts,cortexvpu-01a-005-41884872_2026-06-19_12-39-53_774504.ts,2026-06-19 13:41:13.472000,13:41:13 - 13:42:47,DB,Stuart McCandless,Unplanned operational,0:01:34,,Material Performance,Incompatable,Shrinkwrap,Shrinkwrapper,770116 JW BLACK 0.05L 40% 10x12 US,L6170CL001,,12578718,2026-06-19 13:41:13.472,2026-06-19 13:41:13.472,126.0,1.5666666666666667,True,44.888666667,44.888666667
49,2026-06-19 14:17:31.166666667,2026-06-19 14:17:44.166666667,1,cortexvpu-01a-005-41884872_2026-06-19_13-17-18_821097.ts,cortexvpu-01a-005-41884872_2026-06-19_13-17-18_821097.ts,2026-06-19 14:18:22.154000,14:18:22 - 14:20:56,DB,Stuart McCandless,Unplanned operational,0:02:34,,Material Performance,Incompatable,Shrinkwrap,Shrinkwrapper,770116 JW BLACK 0.05L 40% 10x12 US,L6170CL001,,12578718,2026-06-19 14:18:22.154,2026-06-19 14:18:22.154,128.0,2.566666666666667,True,50.987333333,50.987333333
50,2026-06-19 14:23:38.916666667,2026-06-19 14:23:44.250000000,1,cortexvpu-01a-005-41884872_2026-06-19_13-22-18_900000.ts,cortexvpu-01a-005-41884872_2026-06-19_13-22-18_900000.ts,2026-06-19 14:24:26.805000,14:24:26 - 14:24:54,DB,Stuart McCandless,Unplanned operational,0:00:27,,Material Performance,Incompatable,Shrinkwrap,Shrinkwrapper,770116 JW BLACK 0.05L 40% 10x12 US,L6170CL001,,12578718,2026-06-19 14:24:26.805,2026-06-19 14:24:26.805,129.0,0.45,True,47.888333333,47.888333333
51,2026-06-19 14:52:33.833333333,2026-06-19 14:52:42.333333333,1,cortexvpu-01a-005-41884872_2026-06-19_13-52-19_874582.ts,cortexvpu-01a-005-41884872_2026-06-19_13-52-19_874582.ts,2026-06-19 14:53:19.827000,14:53:19 - 14:54:34,DB,Stuart McCandless,Unplanned operational,0:01:14,,Material Performance,Incompatable,Shrinkwrap,Shrinkwrapper,770116 JW BLACK 0.05L 40% 10x12 US,L6170CL001,,12578718,2026-06-19 14:53:19.827,2026-06-19 14:53:19.827,133.0,1.2333333333333334,True,45.993666667,45.993666667
52,2026-06-19 14:56:58.666666667,2026-06-19 14:57:10.500000000,1,cortexvpu-01a-005-41884872_2026-06-19_13-55-25_943526.ts,cortexvpu-01a-005-41884872_2026-06-19_13-55-25_943526.ts,2026-06-19 14:57:47.430000,14:57:47 - 14:59:36,DB,Stuart McCandless,Unplanned operational,0:01:49,,Material Performance,Incompatable,Shrinkwrap,Shrinkwrapper,770116 JW BLACK 0.05L 40% 10x12 US,L6170CL001,,12578718,2026-06-19 14:57:47.430,2026-06-19 14:57:47.430,134.0,1.8166666666666667,True,48.763333333,48.763333333
53,2026-06-19 15:07:03.083333333,2026-06-19 15:07:19.833333333,1,cortexvpu-01a-005-41884872_2026-06-19_14-07-01_945370.ts,cortexvpu-01a-005-41884872_2026-06-19_14-07-01_945370.ts,2026-06-19 15:07:55.753000,15:07:55 - 15:09:58,DB,Stuart McCandless,Unplanned operational,0:02:03,,Material Performance,Incompatable,Shrinkwrap,Shrinkwrapper,770116 JW BLACK 0.05L 40% 10x12 US,L6170CL001,,12578718,2026-06-19 15:07:55.753,2026-06-19 15:07:55.753,135.0,2.05,True,52.669666667,52.669666667
54,2026-06-19 15:17:10.166666667,2026-06-19 15:17:23.750000000,1,cortexvpu-01a-005-41884872_2026-06-19_14-17-09_945733.ts,cortexvpu-01a-005-41884872_2026-06-19_14-17-09_945733.ts,,,,,,,,,,,,,,,,,,,,False,,
55,2026-06-19 16:29:31.833333333,2026-06-19 16:29:32.833333333,1,cortexvpu-01a-005-41884872_2026-06-19_15-28-03_933333.ts,cortexvpu-01a-005-41884872_2026-06-19_15-28-03_933333.ts,2026-06-19 16:29:56.329000,16:29:56 - 16:31:23,DB,Stuart McCandless,Unplanned operational,0:01:27,,Material Performance,Incompatable,Shrinkwrap,Shrinkwrapper,770116 JW BLACK 0.05L 40% 10x12 US,L6170CL001,,12578718,2026-06-19 16:29:56.329,2026-06-19 16:29:56.329,139.0,1.45,True,24.495666667,24.495666667
