delta_seconds_added_to_extracted_grouped_events,pearson_correlation,overlapping_marker_seconds,extracted_marker_seconds_after_shift,harford_marker_seconds,event_marker_width_seconds
715,0.05515701386510209,878,11880,4970,60
720,0.05222013067469061,857,11880,4970,60
725,0.050122356967253756,842,11880,4970,60
730,0.04872384116229587,832,11880,4970,60
735,0.0480245832598169,827,11880,4970,60
740,0.04676591903535479,818,11880,4970,60
745,0.04690577061585055,819,11880,4970,60
750,0.047744880098825285,825,11880,4970,60
755,0.04956295064527049,838,11880,4970,60
760,0.04984265380626212,840,11880,4970,60
765,0.049850218761547695,840,11879,4970,60
770,0.050027936792049546,841,11874,4970,60
775,0.05020572432962481,842,11869,4970,60
780,0.050663452833209735,845,11864,4970,60
785,0.05098139425615337,847,11859,4970,60
790,0.05171942318161829,852,11854,4970,60
795,0.05287777694996191,860,11849,4970,60
800,0.05501685757630512,875,11844,4970,60
805,0.057997152264509945,896,11839,4970,60
810,0.05915735325213116,904,11834,4970,60
815,0.06031799514487265,912,11829,4970,60
820,0.06288054604502358,930,11824,4970,60
825,0.06306112310247868,931,11819,4970,60
830,0.06310157212691395,931,11814,4970,60
835,0.06370294473886332,935,11809,4970,60
840,0.0645850537035168,941,11804,4970,60
845,0.06630917549476092,953,11799,4970,60
850,0.06761303608502704,962,11794,4970,60
855,0.06681240843789601,956,11789,4970,60
860,0.06545004526926958,946,11784,4970,60
865,0.06366601258876611,933,11779,4970,60
870,0.0637066654184376,933,11774,4970,60
875,0.06529216440378328,944,11769,4970,60
880,0.06814245831298818,964,11764,4970,60
885,0.07253925237383299,995,11759,4970,60
890,0.07651616445593463,1023,11754,4970,60
895,0.07894859119181924,1040,11749,4970,60
900,0.08081965817870206,1053,11744,4970,60
